Game Name~Release Date~GB_ReleaseDate~AppId~Url
Judge Dredd: Countdown Sector 106~Apr 21, 2015~#NEED_DATA~352080~http://store.steampowered.com/app/352080
Eternal Silence~Mar 1, 2007~2006-09-03~17550~http://store.steampowered.com/app/17550
BR Blue Class 47 Large Logo Highland Rail Livery~Feb 24, 2015~#NEED_DATA~295188~http://store.steampowered.com/app/295188
Warhammer Quest - Deluxe Pack items~Jan 7, 2015~#NEED_DATA~334740~http://store.steampowered.com/app/334740
SNOW~Mar 2, 2014~#NEED_DATA~244930~http://store.steampowered.com/app/244930
Class 08 Railfreight Add-On Livery~Feb 17, 2015~#NEED_DATA~295184~http://store.steampowered.com/app/295184
 Class 08 Intercity Livery Add-On~Feb 5, 2015~#NEED_DATA~295182~http://store.steampowered.com/app/295182
Class 08 RES Add-On Livery~Feb 17, 2015~#NEED_DATA~295183~http://store.steampowered.com/app/295183
Way of the Samurai 4~Q2~#NEED_DATA~312780~http://store.steampowered.com/app/312780
Class 08 Triple Grey Livery Add-On~Feb 5, 2015~#NEED_DATA~295181~http://store.steampowered.com/app/295181
BR Blue Grey Class 121 Add-On Livery~Jan 21, 2015~#NEED_DATA~295178~http://store.steampowered.com/app/295178
Counter-Strike: Condition Zero~Mar 1, 2004~2004-03-01~80~http://store.steampowered.com/app/80
One Manga Day~Jun 20, 2014~#NEED_DATA~365070~http://store.steampowered.com/app/365070
BR Blue Class 121 Add-On Livery~Jan 21, 2015~#NEED_DATA~295177~http://store.steampowered.com/app/295177
BR Railfreight Class 20 Add-On Livery~Feb 13, 2015~#NEED_DATA~295174~http://store.steampowered.com/app/295174
Where is my Heart?~May 29, 2014~#NEED_DATA~244950~http://store.steampowered.com/app/244950
BR Blue Class 20 Add-On Livery~Feb 13, 2015~#NEED_DATA~295173~http://store.steampowered.com/app/295173
Fort Meow~Jun 25, 2015~#NEED_DATA~352070~http://store.steampowered.com/app/352070
Titanis~Jun 8, 2015~#NEED_DATA~365060~http://store.steampowered.com/app/365060
Captain Morgane and the Golden Turtle~Jan 3, 2014~#NEED_DATA~264320~http://store.steampowered.com/app/264320
Warfare~Nov 20, 2008~#NEED_DATA~35300~http://store.steampowered.com/app/35300
Fair Strike~Feb 5, 2004~#NEED_DATA~352120~http://store.steampowered.com/app/352120
Counter-Strike: Condition Zero Deleted Scenes~Mar 1, 2004~#NOT_FOUND~100~http://store.steampowered.com/app/100
Narcissu 1st & 2nd~May 15, 2007~#NEED_DATA~264380~http://store.steampowered.com/app/264380
Diamond Dan~Oct 8, 2010~#NEED_DATA~70500~http://store.steampowered.com/app/70500
Pirates, Vikings, & Knights II~Feb 12, 2010~#NOT_FOUND~17570~http://store.steampowered.com/app/17570
Europa Universalis IV: Indian Subcontinent Unit Pack~Jul 16, 2014~#NEED_DATA~295221~http://store.steampowered.com/app/295221
Elemental: Fallen Enchantress Map Pack~Dec 4, 2012~#NEED_DATA~225700~http://store.steampowered.com/app/225700
Europa Universalis IV: Anthology of Alternate History~May 19, 2014~#NEED_DATA~295220~http://store.steampowered.com/app/295220
Project CARS - Limited Edition Upgrade - 001~Jun 8, 2015~#NEED_DATA~334770~http://store.steampowered.com/app/334770
Clutch~Jun 2, 2009~#NEED_DATA~35310~http://store.steampowered.com/app/35310
Dystopia~Sep 10, 2005~2009-02-06~17580~http://store.steampowered.com/app/17580
Europa Universalis IV: Indian Ships Unit Pack~Jul 16, 2014~#NEED_DATA~295222~http://store.steampowered.com/app/295222
Project CARS - Racing Icons Pack  - 003~Jun 9, 2015~#NEED_DATA~334772~http://store.steampowered.com/app/334772
Agarest Zero~Apr 17, 2014~#NEED_DATA~260130~http://store.steampowered.com/app/260130
After All~Apr 17, 2015~#NEED_DATA~365110~http://store.steampowered.com/app/365110
Diamond Dan - Demo~Oct 8, 2010~#NEED_DATA~70510~http://store.steampowered.com/app/70510
Heldric - The legend of the shoemaker Demo~Apr 17, 2014~#NEED_DATA~295210~http://store.steampowered.com/app/295210
Axis Game Factory's AGFPRO - Voxel Sculpt DLC~Mar 23, 2015~#NEED_DATA~352111~http://store.steampowered.com/app/352111
La Tale~Sep 15, 2008~#NEED_DATA~264360~http://store.steampowered.com/app/264360
Insane 2~Jan 24, 2012~#NEED_DATA~35320~http://store.steampowered.com/app/35320
Naval War: Arctic Circle Demo~Apr 10, 2012~#NEED_DATA~210290~http://store.steampowered.com/app/210290
Command and Conquer: Red Alert 3~Oct 28, 2008~#NOT_FOUND~17480~http://store.steampowered.com/app/17480
Just Cause 2: Rico's Signature Gun DLC~Jun 22, 2010~#NEED_DATA~35083~http://store.steampowered.com/app/35083
Just Cause 2: Bull's Eye Rifle DLC~Jun 22, 2010~#NEED_DATA~35080~http://store.steampowered.com/app/35080
Shadow Hunter~Apr 20, 2015~#NEED_DATA~365270~http://store.steampowered.com/app/365270
Blade Symphony~May 7, 2014~#NEED_DATA~225600~http://store.steampowered.com/app/225600
